State Name,Charge for Prostitution and/or Potential Consequences,Offenses in Past 5 years
Alabama,Class A misdemeanor,348
Alaska,Class B misdemeanor,43
Arizona,Class 1 misdemeanor,"2,231"
Arkansas,"Class B misdemeanor on first offense

Class A misdemeanor on second offense",406
California,"Misdemeanor 

Probation is not an option if the defendant has a prior conviction and must receive a sentence of at least 45 days in county jail

Two or more prior convictions will increase the sentence to at least 90 days in jail","7,276"
Colorado,Petty offense,"1,223"
Connecticut,Class A misdemeanor,308
Delaware,"Class B misdemeanor

Class A misdemeanor if an act is committed within 1,000 feet of the property of any school, residence, church, synagogue or other place of worship. Will result in a $500 fine and paying and undergoing STD testing.",109
Florida,"Second degree misdemeanor on first offense, which can result in a term of imprisonment for up to 60 days, a fine in an amount up to $500, or both.
 
First degree misdemeanor on second offense, which can result in a term of imprisonment for up to one year, a fine in an amount up to $1,000, or both.","2,717"
Georgia,Misdemeanor,"1,395"
Hawaii,"Petty misdemeanor. First offense involves a fine of $500 and the person may be sentenced to a term of imprisonment of not more than thirty days or probation. 

Subsequent offenses result in a mandatory fine of $500 and a term of imprisonment of thirty days or probation.",69
Idaho,"Misdemeanor first offense

Felony on third or subsequent conviction",165
Illinois,"Class A misdemeanor on first offense 

Class 4 felony on a second or subsequent offense. 

Class 4 felony on first offense if committed within 1,000 feet of real property comprising a school","1,495"
Indiana,"Class A misdemeanor.

Class D felony if the person has two prior convictions",379
Iowa,Aggravated misdemeanor,164
Kansas,Class B nonperson misdemeanor,320
Kentucky,"Class B misdemeanor

Class D felony if they knowingly had HIV or if commit prostitution in a manner likely to transmit HIV",264
Louisianna,"Fined not more than five hundred dollars or be imprisoned for not more than six months on first offense 

Fined not less than two hundred fifty dollars nor more than two thousand dollars or be imprisoned, with or without hard labor, for not more than two years, or both on second offense 

Imprisoned, with or without hard labor, for not less than two nor more than four years and shall be fined not less than five hundred dollars nor more than four thousand dollars on third and subsequent offenses",779
Maine,"Class E Crime

Class D crime if one or more prior convictions within two years",115
Maryland,Misdemeanor. Can result in up to one year of jail time and a fine of up to $500,978
Massachusetts,"Fine not exceeding two hundred dollars ($200.00) or by confinement in the county jail for not more than six (6) months, or by both","1,552"
Michigan,"Misdemeanor punishable by imprisonment for not more than 93 days or a fine of not more than $500.00, or both","2,516"
Minnesota,"Misdemeanor, which can result in 90 days in jail, and a $1,000 fine",188
Mississippi,Punished by a fine not exceeding two hundred dollars ($200.00) or by confinement in the county jail for not more than six (6) months,91
Missouri,"Class B misdemeanor, which can result in up to 6 months in jail and a fine of up to $500 and/or drug and alcohol treatment, which can result in the reversal of a guilty verdict or dropped charges upon successful completion",671
Montana,"A prostitute convicted of prostitution shall be fined an amount not to exceed $500 or be imprisoned in the county jail for a term not to exceed 6 months, or both",92
Nebraska,Class I misdemeanor,101
Nevada,"Prostitution is partially legalized in certain counties.

Misdemeanor if outside of a brothel. 

Category B felony in state prison for a minimum term of not less than 2 years and a maximum term of not more than 10 years, or by a fine of not more than $10,000, or by both fine and imprisonment if offender knowingly had HIV","7,889 (2,602 in past two years since limited legalizations)"
New Hampshire,Misdemeanor,52
New Jersey,"Disorderly persons offense with up to six (6) months in jail and a $1,000 fine on first offense","1,085"
New Mexico,"Petty misdemeanor punishable by up to 6 months in prison and up to $500 in fines. 

Misdemeanor punishable by up to 1 year in prison and up to $1,000 in fines on second or subsequent offense of prostitution or solicitation is a",272
New York,Class B Misdemeanor,"1,171"
North Carolina,Class 1 misdemeanor,816
Ohio,Third degree misdemeanor,333
Oklahoma,"Misdemeanor, which can result in 30 days to 1 year and first conviction comes with a $2,500 fine. 

Felony if offender knowingly has HIV, which can result in up to five years imprisonment","1,249"
Oregon,Class A misdemeanor,552
Pennsylvania,"Misdemeanor of the third degree on the first or second offense

Misdemeanor of the second-degree on the third offense

Misdemeanor of the first-degree charge on the fourth or subsequent offense. 

Felony of the third degree
if the defendant knows they were HIV positive (human immunodeficiency virus) or knew they had HIV/AIDS (immune deficiency syndrome)","1,172"
Rhode Island,"Misdemeanor, which can result in imprisonment for a term not exceeding six (6) months, or to a fine of not less than two hundred fifty dollars ($250) nor more than one thousand dollars ($1,000), or both",51
South Carolina,"Fine not exceeding two hundred dollars or confinement in prison for a period of not more than thirty days on first offense 

Fine not exceeding one thousand dollars or imprisonment for not exceeding six months, or both on second offense 

Fine not exceeding three thousand dollars or imprisonment for not less than one year, or both on third and subsequent offense",582
South Dakota,Class 1 misdemeanor,99
Tennessee,"Class B misdemeanor

Class A misdemeanor if crime is conducted within one hundred feet (100 ) of a church or within one and one-half (1½) miles of a school. Which can result in 7 days of incarceration and be fined at least $1,000","1,168"
Texas,"Class B misdemeanor on first offense 

Class A misdemeanor on second and third offense 

State jail felony on fourth or subsequent offense","9,836"
Utah,"Class B misdemeanor

Class A misdemeanor on 2nd and subsequent offenses 

Felony of 3rd degree if they offender knowingly had HIV",618
Vermont,"Fined not more than $100.00 or may be imprisoned not more than one year on first offense 

Imprisoned for not more than three years on third offense",35
Virginia,Class 1 misdemeanor and requirement to submit to testing for infection with human immunodeficiency viruses and hepatitis C,"1,123"
Washington,Misdemeanor,675
West Virginia,"6 months in prison and up to $100 in fines on first offense

1 year in prison and up to $250 in fines on second offense 

Up to 3 years in prison on third and subsequent offense",328
Wisconsin,Class A Misdemeanor,"1,139"
Wyoming,"Misdemeanor punishable by imprisonment for not more than six (6) months, a fine of not more than seven hundred fifty dollars ($750.00), or both.",23
